"","start","end","mass","entrynames","ID"
"364",122.5,127.5,218.97409,"C6H9Cl3O2$M+H",2
"365",125,155,247.91084,"C7H3BrClNO2$M+H",2
"366",127.5,132.5,216.00185,"C8H10BrNO$M+H",2
"367",130,135,172.99193,"C8H6Cl2$M+H",2
"368",130,137.5,182.98039,"C8H7Br$M+H",2
"369",130,142.5,216.991065,"C8H9BrS$M+H#C12H8S2$M+H#C6H9NaO5S$M+H",2
"370",135,160,93.036745,"C2H8O2Si$M+H#C3H8OS$M+H",2
"371",135,140,372.17696,"C22H23F2NO2$M+H",2
"372",137.5,147.5,157.01074,"C4H5NaO5$M+H",2
"373",157.5,162.5,267.17087,"C14H22N2O3$M+H",2
"374",170,180,192.087745,"C8H17NS2$M+H#C8H9N5O$M+H",2
"375",170,175,227.0914,"C11H14O5$M+H",2
"376",175,180,310.12851,"C15H19NO6$M+H",2
"377",180,185,220.11795,"C9H17NO5$M+H",2
"378",182.5,187.5,297.09584,"C8H17N4O6P$M+H",2
"379",190,195,259.0747,"C10H14N2O4S$M+H",2
"380",195,202.5,269.05906,"C11H12N2O4S$M+H",2
"381",202.5,217.5,213.03284,"C8H8N2O3S$M+H",2
"382",202.5,212.5,280.09596,"C12H14ClN5O$M+H",2
"383",205,210,174.12772,"C12H15N$M+H",2
"384",205,212.5,188.0706,"C11H9NO2$M+H",2
"385",205,212.5,247.1441,"C14H18N2O2$M+H",2
"386",220,230,210.92261,"C2H2F3I$M+H",2
"387",222.5,230,243.08381,"C15H14OS$M+H",2
"388",297.5,302.5,195.94821,"C6H4Cl3N$M+H",2
"389",312.5,317.5,239.09195,"C12H14O5$M+H",2
"390",352.5,382.5,156.07675,"C6H9N3O2$M+H",2
"391",352.5,360,334.12601,"C21H19NOS$M+H",2
"392",352.5,362.5,335.11895,"C12H20N2Na2O6$M+H",2
"393",355,360,229.07066,"C10H12O6$M+H",2
"394",357.5,365,171.18557,"C10H22N2$M+H",2
"395",360,365,219.17489,"C15H22O$M+H",2
"396",362.5,367.5,253.07121,"C12H12O6$M+H",2
"397",367.5,372.5,126.12772,"C8H15N$M+H",2
"398",367.5,397.5,151.03244,"C7H6N2S$M+H",2
"399",370,380,152.02952,"C5H10ClNS$M+H",2
"400",382.5,415,167.10339,"C10H18N2$M+H#C9H10OS$M+H",2
"401",392.5,397.5,278.11353,"C13H15N3O4$M+H",2
"402",400,405,223.07133,"C10H10N2O4$M+H",2
"403",405,410,290.14185,"C16H20ClN3$M+H",2
"404",405,410,423.16389,"C20H23N4NaO5$M+H",2
"405",407.5,437.5,167.15427,"C10H18N2$M+H",2
"406",407.5,427.5,183.13527,"C7H14N6$M+H",2
"407",412.5,417.5,184.14443,"C9H17N3O$M+H",2
"408",412.5,420,233.16484,"C14H20N2O$M+H",2
"409",417.5,427.5,206.0924,"C10H11N3O2$M+H",2
"410",417.5,447.5,232.10805,"C12H13N3O2$M+H",2
"411",420,445,204.11313,"C11H13N3O$M+H",2
"412",430,440,270.06399,"C11H12ClN3O3$M+H",2
"413",440,445,330.13698,"C15H23NO5S$M+H",2
"414",450,465,271.09475,"C12H14O7$M+H#C15H14N2O3$M+H",2
"415",452.5,482.5,177.051355,"C10H8O3$M+H#C9H8N2S$M+H",2
"416",452.5,460,182.09643,"C13H11N$M+H",2
"417",452.5,465,253.09715,"C15H12N2O2$M+H",2
"418",455,462.5,180.08078,"C13H9N$M+H",2
"419",460,482.5,103.07536,"C5H10O2$M+H",2
"420",462.5,467.5,149.07094,"C8H8N2O$M+H",2
"421",465,482.5,245.13623,"C9H18B2O6$M+H",2
"422",467.5,475,179.12779,"C8H18O4$M+H",2
"423",470,475,246.11247,"C14H15NO3$M+H",2
"424",477.5,482.5,280.09596,"C12H14ClN5O$M+H",2
"425",492.5,522.5,223.154,"C10H22O5$M+H#C10H22O5$M+H",2
"426",492.5,497.5,271.09648,"C16H14O4$M+H",2
"427",500,510,282.090195,"C12H15N3O3S$M+H#C14H16ClNO3$M+H",2
"428",502.5,512.5,279.091345,"C12H14N4O2S$M+H#C20H10N2$M+H",2
"429",507.5,512.5,229.19105,"C12H24N2O2$M+H",2
"430",507.5,517.5,255.11997,"C16H18OSi$M+H",2
"431",512.5,520,217.95597,"C5H4BrN3O2$M+H",2
"432",517.5,525,191.104215,"C7H15ClN4$M+H#C7H14N2O4$M+H",2
"433",517.5,525,193.98824,"C5H5Cl2N3O$M+H",2
"434",522.5,527.5,192.07675,"C9H9N3O2$M+H",2
"435",527.5,557.5,167.12912,"C10H18N2$M+H#C6H10N6$M+H",2
"436",527.5,542.5,182.12878,"C9H15N3O$M+H",2
"437",527.5,532.5,277.11753,"C10H22NaO5P$M+H",2
